date,cases,deaths
15-03-2021,15051,48
16-03-2021,17864,87
17-03-2021,23179,84
18-03-2021,25833,58
19-03-2021,25681,70
20-03-2021,27126,92
21-03-2021,30535,99
22-03-2021,24645,58
23-03-2021,28699,132
24-03-2021,31855,95
25-03-2021,35952,111
26-03-2021,36902,112
27-03-2021,35726,166
28-03-2021,40414,108
29-03-2021,31643,102
30-03-2021,27918,139
31-03-2021,39544,227
01-04-2021,43183,249
02-04-2021,47913,481
03-04-2021,49447,277
04-04-2021,57074,222
05-04-2021,47288,155
06-04-2021,55469,297
07-04-2021,59907,322
08-04-2021,56286,376
09-04-2021,58993,301
10-04-2021,55411,309
11-04-2021,63294,349
12-04-2021,51751,258
13-04-2021,60212,281
14-04-2021,58952,278
15-04-2021,61695,349
16-04-2021,63729,398
17-04-2021,67123,419
18-04-2021,68631,503
19-04-2021,58924,351
20-04-2021,62097,519
21-04-2021,67468,568
22-04-2021,67013,568
23-04-2021,66836,773
24-04-2021,67160,676
25-04-2021,66191,832
26-04-2021,48700,524
27-04-2021,66358,895
28-04-2021,63309,1035
29-04-2021,66159,771
30-04-2021,62919,828
01-05-2021,63282,802
02-05-2021,56647,669
03-05-2021,48621,567
04-05-2021,51880,891
05-05-2021,57640,920
06-05-2021,62194,853
07-05-2021,54022,898
08-05-2021,56578,864
09-05-2021,48401,572
10-05-2021,37236,549
11-05-2021,40956,793
12-05-2021,46781,816
13-05-2021,42582,850
14-05-2021,39923,695
15-05-2021,34848,960
16-05-2021,34389,974
17-05-2021,26616,1000
18-05-2021,28438,1291
19-05-2021,34031,594
20-05-2021,29911,984
21-05-2021,29644,1263
22-05-2021,26133,682
23-05-2021,26672,1320
24-05-2021,22122,592
25-05-2021,24136,1137
26-05-2021,24752,992
27-05-2021,21273,884
28-05-2021,20740,973
29-05-2021,20295,832
30-05-2021,18600,814
31-05-2021,15077,500
01-06-2021,14123,854
02-06-2021,15169,553
03-06-2021,15229,643
04-06-2021,14152,1377
05-06-2021,13659,741
06-06-2021,12557,618
07-06-2021,10219,340
08-06-2021,10891,702
09-06-2021,10989,661
10-06-2021,12207,1915
11-06-2021,11766,2619
12-06-2021,10697,1966
13-06-2021,10442,2771
14-06-2021,8129,1592
15-06-2021,7652,1458
16-06-2021,10107,1236
17-06-2021,9830,636
18-06-2021,9798,648
